"Name","Ticker","NAVTicker","Class","Raw","TickerStart","TickerEnd","ExpenseRatio","ID","...10"
"AllianceBernstein Nat Mu ","AFB","XAFBX","GML","AllianceBernstein Nat Mu (AFB)",26,30,0.0178,74590,"AFB;NYSE"
"BlackRock Inv Qual Muni ","BKN","XBKNX","GML","BlackRock Inv Qual Muni (BKN)",25,29,0.0184,3458,"BKN;NYSE"
"BlackRock L-T Muni Adv ","BTA","XBTAX","GML","BlackRock L-T Muni Adv (BTA)",24,28,0.02,107601,"BTA;NYSE"
"BlackRock Muni 2030 Tgt ","BTT","XBTTX","GML","BlackRock Muni 2030 Tgt (BTT)",25,29,0.0149,200179,"BTT;NYSE"
"BlackRock Muni Bd Tr ","BBK","XBBKX","GML","BlackRock Muni Bd Tr (BBK)",22,26,0.0231,77434,"BBK;NYSE"
"BlackRock Muni Inc ","BFK","XBFKX","GML","BlackRock Muni Inc (BFK)",20,24,0.0198,69674,"BFK;NYSE"
"BlackRock Muni Inc II ","BLE","XBLEX","GML","BlackRock Muni Inc II (BLE)",23,27,0.0202,78691,"BLE;NYSE"
"BlackRock Muni Inc Inv ","BBF","XBBFX","GML","BlackRock Muni Inc Inv (BBF)",24,28,0.0216,69673,"BBF;NYSE"
"BlackRock Muni Inc Qly ","BYM","XBYMX","GML","BlackRock Muni Inc Qly (BYM)",24,28,0.0193,82952,"BYM;NYSE"
"BlackRock Muni Inv Qly ","BAF","XBAFX","GML","BlackRock Muni Inv Qly (BAF)",24,28,0.0206,82954,"BAF;NYSE"
"BlackRock MuniEnhanced ","MEN","XMENX","GML","BlackRock MuniEnhanced (MEN)",24,28,0.0173,3014,"MEN;NYSE"
"BlackRock MuniHds II ","MUH","XMUHX","GML","BlackRock MuniHds II (MUH)",22,26,0.0183,33611,"MUH;NYSE"
"BlackRock MuniHds Inv Ql ","MFL","XMFLX","GML","BlackRock MuniHds Inv Ql (MFL)",26,30,0.0208,30567,"MFL;NYSE"
"BlackRock MuniHds Qly ","MUS","XMUSX","GML","BlackRock MuniHds Qly (MUS)",23,27,0.0191,34682,"MUS;NYSE"
"BlackRock MuniHds Qly II ","MUE","XMUEX","GML","BlackRock MuniHds Qly II (MUE)",26,30,0.0192,40985,"MUE;NYSE"
"BlackRock MuniHoldings ","MHD","XMHDX","GML","BlackRock MuniHoldings (MHD)",24,28,0.0187,25899,"MHD;NYSE"
"BlackRock MuniVest ","MVF","XMVFX","GML","BlackRock MuniVest (MVF)",20,24,0.0192,2886,"MVF;NYSE"
"BlackRock MuniVest II ","MVT","XMVTX","GML","BlackRock MuniVest II (MVT)",23,27,0.0187,3528,"MVT;NYSE"
"BlackRock MuniYield ","MYD","XMYDX","GML","BlackRock MuniYield (MYD)",21,25,0.0175,3309,"MYD;NYSE"
"BlackRock MuniYld Inv Ql ","MFT","XMFTX","GML","BlackRock MuniYld Inv Ql (MFT)",26,30,0.0207,3434,"MFT;NYSE"
"BlackRock MuniYld Ql ","MQY","XMQYX","GML","BlackRock MuniYld Ql (MQY)",22,26,0.0174,3392,"MQY;NYSE"
"BlackRock MuniYld Ql II ","MQT","XMQTX","GML","BlackRock MuniYld Ql II (MQT)",25,29,0.0179,3407,"MQT;NYSE"
"BlackRock MuniYld Qly 3 ","MYI","XMYIX","GML","BlackRock MuniYld Qly 3 (MYI)",25,29,0.0184,3333,"MYI;NYSE"
"BlackRock MunYld Inv ","MYF","XMYFX","GML","BlackRock MunYld Inv (MYF)",22,26,0.0197,3328,"MYF;NYSE"
"BlackRock Strategic Muni ","BSD","XBSDX","GML","BlackRock Strategic Muni (BSD)",26,30,0.0208,43908,"BSD;NYSE"
"Delaware Inv Natl Muni ","VFL","XVFLX","GML","Delaware Inv Natl Muni (VFL)",24,28,0.0197,3461,"VFL;NYSE"
"Dreyfus Muni Bd Infra ","DMB","XDMBX","GML","Dreyfus Muni Bd Infra (DMB)",23,27,0.0202,203316,"DMB;NYSE"
"Dreyfus Muni Income ","DMF","XDMFX","GML","Dreyfus Muni Income (DMF)",21,25,0.0148,2912,"DMF;NYSE"
"Dreyfus Strat Muni Bond ","DSM","XDSMX","GML","Dreyfus Strat Muni Bond (DSM)",25,29,0.0128,3239,"DSM;NYSE"
"Dreyfus Strat Municipals ","LEO","XLEOX","GML","Dreyfus Strat Municipals (LEO)",26,30,0.0137,2603,"LEO;NYSE"
"DTF Tax-Free Income ","DTF","XDTFX","GML","DTF Tax-Free Income (DTF)",21,25,0.0229,3310,"DTF;NYSE"
"DWS Municipal Income Tr ","KTF","XKTFX","GML","DWS Municipal Income Tr (KTF)",25,29,0.0188,2914,"KTF;NYSE"
"Eaton Vance Mun Inc 2028 ","ETX","XETTX","GML","Eaton Vance Mun Inc 2028 (ETX)",26,30,0.0198,202797,"ETX;NYSE"
