fund,avg_return1,median_return1,avg_return2,median_return2,ExpenseRatio,Market cap,Current dividend yield,Historical average dividend yield,Leverage factor,Average volume
AFB,0.10098950410481002,0.08419417708306498,0.20809722176884066,0.20955038056998143,0.0178,302684176,4.65,5.78,1.59,75346
BFK,0.10570300475275608,0.10121878583729416,0.21373990114853897,0.2049415597615547,0.0198,443961221,5.23,6.18,1.64,126734
BKN,0.1533362214590278,0.13501162085007334,0.32399418366581245,0.33200465530112466,0.0184,199871540,5.85,6.29,1.66,87430
BLE,0.08274759679263402,0.06586985601802975,0.16688816670963239,0.17086107679427465,0.0202,244478033,5.24,6.19,1.64,121130
BTA,0.10655334749251232,0.08287252441751725,0.211753381022638,0.21016209200654457,0.02,127278736,6.33,5.95,1.62,42231
BTT,0.09276652817876947,0.07915104294114506,0.19232916174031064,0.19547738748104204,0.0149,1493307994,3.44,3.92,1.55,95900
BYM,0.11434202971740745,0.10329923578814837,0.23716256175723627,0.2398887527295035,0.0193,290733066,5.38,5.64,1.59,55653
CXH,0.07370124764246035,0.06007853196102331,0.14842084035023762,0.154878437922916,0.0233,65138252,4.44,6.41,1.58,23014
DMB,0.09904193558860509,0.056390730968150615,0.1974373773269557,0.20573657799014278,0.0202,199445095,5.27,5.16,1.14,37948
DMF,0.08253906502514362,0.05592760060463564,0.1650342005536972,0.17557990833370063,0.0148,129069964,4.61,6.33,1.31,46973
DSM,0.06239250253306687,0.060511784399708723,0.11635538738356548,0.12103832431403005,0.0128,279725752,5.65,6.63,1.57,135074
DTF,0.06476006504289938,0.05775375380374714,0.13125814972328093,0.14237534683440423,0.0229,76973056,4.5,5.25,1.6,27542
EIM,0.08866145608552956,0.07606976001082666,0.18328293995525277,0.1808147224297858,0.02,718812308,4.68,5.97,1.7,175467
EOT,0.05727119044975273,0.07704929940568506,0.09953219842760588,0.09933128281647874,0.0096,271873625,4.37,5.02,1.07,35149
ETX,0.08366315587834067,0.07598592191247855,0.17161320873250754,0.1751755605789127,0.0198,191485131,4.47,4.41,1.56,25843
EVN,0.10837458143897971,0.08683846937881046,0.22303653839359477,0.23285372261415627,0.0258,389928212,5.41,6.39,1.53,100545
EXD,0.20375783162726469,0.13235815762032654,0.41628568020060797,0.42630816286037154,0.0145,92288275,8.99,9.43,1.07,17413
FMN,0.10215813722876084,0.08391541183826012,0.20885442842668298,0.2155519931860148,0.0191,120385013,4.92,5.9,1.66,24373
IIM,0.09630584412646429,0.09628907528930486,0.19456852542071162,0.19965706719783927,0.0205,548817999,5.68,5.83,1.61,113118
